Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Houston,B12,40,35-5,124.7,87.3,0.9836,51.7,44.8,14.2,20.9,36.9,28.6,27.2,34.2,47.8,44.5,39.4,30.2,34.7,43.4,61.8,11.5
,"   1 seed, Finals",,,,11,1,1,122,2,19,23,11,111,328,216,295,5,3,14,285,313,360,2
2,Duke,ACC,39,35-4,130.6,92,0.9824,57.9,44.4,14,17.1,34,27.3,32.9,25,57.9,43,38.6,31.1,44.6,38.3,66,9.5
,"   1 seed, Final Four",,,,1,4,2,3,1,16,172,54,58,182,17,8,3,7,37,58,157,272,5
3,Auburn,SEC,38,32-6,127.7,93,0.9746,54.9,46.1,13.6,17.4,34.2,29.7,33.9,38.7,55.7,46.8,35.9,29.8,40.8,35.3,68.3,12.7
,"   1 seed, Final Four",,,,4,9,3,34,11,7,150,50,173,152,310,33,29,66,9,136,60,133,1
4,Florida,SEC,40,36-4,127.8,94.2,0.9709,54.9,45.5,15.7,16.6,38.5,29,34.9,32.5,56.1,46.3,35.6,29.4,43.7,37.2,69.9,11.1
,"   1 seed, CHAMPS",,,,2,13,4,34,5,75,209,5,135,121,167,29,17,73,5,72,119,59,3
5,Alabama,SEC,37,28-9,127.7,96.6,0.9612,56.6,47.8,16.6,13.5,33.7,29.4,39.3,33.2,59.7,49,35.3,30.4,46.6,34.6,75.1,10.1
,"   2 seed, Elite Eight",,,,3,26,5,10,45,141,348,63,154,30,187,4,95,93,19,34,42,1,4
6,Tennessee,SEC,38,30-8,120.2,91.9,0.9563,52.5,45,16.1,17.7,35.6,30.3,35.5,28.2,54,46.6,33.8,28.7,43.4,44.6,63.9,9.3
,"   2 seed, Elite Eight",,,,18,3,6,94,4,104,129,22,210,103,58,66,25,175,3,79,333,345,6
7,Texas Tech,B12,37,28-9,126.1,97.6,0.9501,54.7,48.1,14.2,17.1,34.2,28.3,29.2,33.4,54.5,47.9,36.7,32.4,44.5,34.6,66.1,5.8
,"   3 seed, Elite Eight",,,,6,37,7,40,54,19,172,50,101,291,197,55,57,40,89,62,42,255,11
8,Gonzaga,WCC,35,26-9,124.8,96.7,0.9494,56,47.5,13.4,18,32.5,26.9,30.7,29.3,57.5,48.9,35.4,30.2,33.6,40.2,70.5,2.8
,"   8 seed, R32",,,,10,28,8,18,34,5,113,94,44,248,83,10,92,87,14,311,232,47,32
9,Maryland,B10,36,27-9,118.6,92.1,0.9484,53.6,47.1,14.3,20.1,30.7,28.2,33.1,26.1,52.2,47.8,37.3,30.6,35.4,36.2,69.7,5.2
,"   4 seed, Sweet Sixteen",,,,24,5,9,64,25,21,39,155,96,171,29,130,53,26,23,271,90,64,18
10,Arizona,B12,37,24-13,124.9,97.4,0.9459,53.3,48.9,16,16.2,36,27.9,35.8,29.8,54.7,47.5,33.8,34,34.7,41.3,70.3,5.4
,"   4 seed, Sweet Sixteen",,,,9,34,10,73,81,95,241,16,75,89,92,50,48,175,187,285,270,51,16
11,Iowa St.,B12,35,25-10,119.3,93.3,0.9441,54.9,48.9,17,21.6,32.2,27.9,37.9,29,55.5,47.8,35.8,33.6,36.8,40.9,68.8,5.4
,"   3 seed, R32",,,,21,10,11,34,81,172,15,105,75,42,78,36,53,68,160,235,254,108,17
12,Wisconsin,B10,37,27-10,123.1,96.8,0.941,53.8,48.1,14,14.5,28,26.7,34.2,27.7,55.2,46.9,34.8,33.3,48.2,39.1,67.9,6.6
,"   3 seed, R32",,,,13,29,12,56,54,16,331,235,41,144,49,41,32,120,138,16,189,155,10
13,Michigan St.,B10,37,30-7,117.3,92.3,0.9399,50.9,46.2,16.4,15.9,35.3,24.7,37.7,31.5,53,49.1,31.1,28,32.9,40.7,67.6,8.5
,"   2 seed, Elite Eight",,,,35,6,13,164,15,131,265,28,9,44,141,105,101,319,2,327,246,175,7
14,BYU,B12,36,26-10,126.8,100.2,0.9373,57,51.4,17.4,16.9,33.7,26.4,30.4,29.4,58.6,49.6,36.8,35.7,47.6,46.2,67.6,4.8
,"   6 seed, Sweet Sixteen",,,,5,64,14,6,206,196,187,63,32,259,85,5,119,35,288,24,349,179,22
15,Purdue,B10,36,24-12,125.6,99.4,0.9366,55.9,51.8,15.7,17.5,31.8,29.7,34.6,30.1,55.1,55.6,38.2,31.2,38.4,42.6,65.2,4.9
,"   4 seed, Sweet Sixteen",,,,8,53,15,21,228,75,146,121,173,130,105,45,332,14,40,182,298,301,21
16,St. John's,BE,36,31-5,113,90,0.9314,49.2,45.9,15.3,21.4,37.9,29.8,30.3,30.7,51,46,30.1,30.6,31,40.8,70.1,7.8
,"   2 seed, R32",,,,74,2,16,262,8,47,18,8,181,265,122,175,12,340,23,342,248,54,8
17,Kentucky,SEC,36,24-12,123.4,98.5,0.9305,55.9,50.3,15,14.1,28.2,26.4,35.2,30.6,55.6,53.9,37.5,30.5,41.2,43.7,70.9,5.6
,"   3 seed, Sweet Sixteen",,,,12,42,17,21,146,39,338,228,32,113,119,34,295,23,20,128,319,32,13
18,UCLA,B10,34,23-11,117.9,94.3,0.9288,52.8,50.1,15.9,22.8,32.7,29.8,32.3,33.9,52.8,50.7,35.2,32.8,36.5,45,65.1,3.9
,"   7 seed, R32",,,,29,15,18,82,132,86,5,89,181,194,206,111,167,98,113,245,337,303,27
19,Illinois,B10,35,22-13,122.5,98.5,0.9248,52.4,47.4,16,12.4,35.8,25.8,34.4,26.9,57.3,46.1,31.3,33.6,47.2,30.5,71.5,4
