team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year,barthag_z,adj_o_z,adj_d_z,adj_t_z,wab_z
Kansas,B12,1,0.982498,121.369,85.5065,68.6453,9.9276476480053,2008,1.5636224948477748,0.518489833039301,-1.6248917224899495,0.18421138187812658,0.3655810561269167
Memphis,CUSA,1,0.971452,116.963,86.0686,70.1847,8.925489065997,2008,0.8398422070798077,-0.6386511015198526,-1.4360063094158386,0.5880474045826384,-0.262882038289664
UCLA,P10,1,0.966392,116.196,86.7657,66.074,10.766958948889,2008,0.5082897667298277,-0.8400871198600397,-1.201756137820107,-0.4903264674008873,0.8919210853417822
North Carolina,ACC,1,0.965916,122.927,91.9077,74.6909,11.896896582733,2008,0.4771002486257561,0.9276649524317582,0.526137108981313,1.7701741328605827,1.6005156277746568
Wisconsin,B10,3,0.959993,112.57,85.3906,63.1199,8.26890641984,2008,1.5919732925070542,-0.6350000041529654,-1.9123845994254767,-1.4991604587395713,1.7100487333899492
Louisville,BE,3,0.951439,112.087,86.5361,67.1763,4.7412692436825,2008,1.2581444826758899,-0.7452845513857237,-1.623464682122877,-0.05732359578685996,-0.9898012559655752
Duke,ACC,2,0.948805,115.836,89.864,73.4556,8.913860383533,2008,0.580444685357018,-0.40404410702304866,-0.6286839140716965,1.841759279332662,1.0499855510278027
Texas,B12,2,0.947598,120.612,93.7695,64.7266,8.4030046190974,2008,0.5005857933985055,0.7974344002307296,0.4253713115715838,-0.8380523092124895,0.6276057876781767
Georgetown,BE,2,0.947187,112.955,87.8797,62.9437,7.6637136252657,2008,0.47339274899506406,-1.1288053254899955,-1.1642265550252164,-1.38540436342456,0.016353890841633023
Washington St.,P10,4,0.935891,113.361,89.788,60.0062,4.9080800987641,2008,0.7382561900902431,-0.2660008594875799,-0.8411759490636288,-1.9082829089021751,-0.007161518330280311
Stanford,P10,3,0.932028,112.796,89.8285,65.1452,6.734747214975,2008,0.5006098757513178,-0.5833968826734512,-0.7930500721472504,-0.7792728247443709,0.5358917818419591
Marquette,BE,6,0.930447,114.135,91.0908,68.5684,3.8495779879165,2008,1.2615802105660578,0.3630643903090345,-0.9593841762861116,0.5951411838290129,0.37651527628851345
Clemson,ACC,5,0.929922,113.184,90.3951,69.5958,4.4027354803279,2008,1.0067844691411145,-0.030029707656145873,-0.6865930077375877,1.019904022749728,0.2651462881349169
Tennessee,SEC,2,0.929015,114.604,91.6395,72.8174,9.1945392611432,2008,-0.7289235597622994,-0.7139732361973902,-0.14949429606385048,1.6458312514016837,1.2820531641499011
Davidson,SC,10,0.928696,114.67,91.7304,68.4393,1.5092707119034,2008,1.9272683599462141,0.679730418598231,-0.9606833306429489,0.4082214433582466,0.1589661072774649
Michigan St.,B10,5,0.920699,114.696,92.6734,65.3246,5.1085798902161,2008,0.6463369300524655,0.30289160220153305,-0.06966472355354118,-0.4662176819880349,0.9161919235503011
Xavier,A10,3,0.920537,115.514,93.352,65.7525,4.6625326979579,2008,0.05216156457877813,0.03721056945624236,0.09565296461897442,-0.5634096142939283,-1.0500616658436688
Texas A&M,B12,9,0.915543,112.124,91.137200000000007,63.8,3.079784780641,2008,1.5521582515178542,0.32345588745489157,-1.137065145775236,-1.2191530307345908,1.2315131102007475
West Virginia,BE,7,0.913785,113.807,92.6864,65.6212,2.6479841309279,2008,1.0820222293849995,0.27626639550571075,-0.8299277005256048,-0.3525216080132828,-0.03372793289293568
Kansas St.,B12,11,0.911707,114.51,93.4707,71.8276,1.0236764565196,2008,1.5299943665711337,0.8173575425159199,-0.7844282808602887,1.7650298709815633,0.41946478197054
Drake,MVC,5,0.908115,119.278,97.7341,64.4428,5.1742659953069,2008,0.1545368832247976,1.3117840901432571,1.3006943019348494,-0.7730312517664951,0.9767784372744452
Purdue,B10,6,0.904704,110.076,90.5103,68.4575,3.808773503204,2008,0.5538555533992988,-0.7069637048559377,-1.1458433630504956,0.5529492732700514,0.3425546177078348
Pittsburgh,BE,4,0.901547,116.223,95.8648,65.2954,5.2584719779356,2008,-0.3213119364686472,0.40610513490939404,0.8111145293536135,-0.4804454819396437,0.26518082701838563
Connecticut,BE,4,0.899225,114.878,94.9691,69.0288,4.3417364199316,2008,-0.3929494041447965,0.0902481948451275,0.567572437871529,0.5273984736343407,-0.44735255852028966
Arizona,P10,10,0.899153,115.467,95.463,65.2987,1.4960671748701,2008,1.1752427149351825,0.8506526148931811,0.020673594090899198,-0.7236102283581181,0.14560071032838937
Gonzaga,WCC,7,0.89687,112.64,93.3278,68.3551,2.1372126338506,2008,0.6591212789446168,-0.03506352069652749,-0.6135585843013988,0.6887156829551926,-0.4623885715550702
Notre Dame,BE,5,0.89571,114.634,95.0828,70.5486,4.3767778663271,2008,-0.33026759713893417,0.28924006700895677,0.5827634061541548,1.3514213387906855,0.24120391349218998
Butler,Horz,7,0.894635,114.239,94.85,61.2143,4.7298937028633,2008,0.6032428500806353,0.39151448787877624,-0.10006143943627369,-2.030940210584331,1.7134969844120689
