team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year
Kansas,B12,1,0.982498,121.369,85.5065,68.6453,9.9276476480053,2008
Memphis,CUSA,1,0.971452,116.963,86.0686,70.1847,8.925489065997,2008
UCLA,P10,1,0.966392,116.196,86.7657,66.074,10.766958948889,2008
North Carolina,ACC,1,0.965916,122.927,91.9077,74.6909,11.896896582733,2008
Wisconsin,B10,3,0.959993,112.57,85.3906,63.1199,8.26890641984,2008
Louisville,BE,3,0.951439,112.087,86.5361,67.1763,4.7412692436825,2008
Duke,ACC,2,0.948805,115.836,89.864,73.4556,8.913860383533,2008
Texas,B12,2,0.947598,120.612,93.7695,64.7266,8.4030046190974,2008
Georgetown,BE,2,0.947187,112.955,87.8797,62.9437,7.6637136252657,2008
Washington St.,P10,4,0.935891,113.361,89.788,60.0062,4.9080800987641,2008
Stanford,P10,3,0.932028,112.796,89.8285,65.1452,6.734747214975,2008
Marquette,BE,6,0.930447,114.135,91.0908,68.5684,3.8495779879165,2008
Clemson,ACC,5,0.929922,113.184,90.3951,69.5958,4.4027354803279,2008
Tennessee,SEC,2,0.929015,114.604,91.6395,72.8174,9.1945392611432,2008
Davidson,SC,10,0.928696,114.67,91.7304,68.4393,1.5092707119034,2008
Michigan St.,B10,5,0.920699,114.696,92.6734,65.3246,5.1085798902161,2008
Xavier,A10,3,0.920537,115.514,93.352,65.7525,4.6625326979579,2008
Texas A&M,B12,9,0.915543,112.124,91.137200000000007,63.8,3.079784780641,2008
West Virginia,BE,7,0.913785,113.807,92.6864,65.6212,2.6479841309279,2008
Kansas St.,B12,11,0.911707,114.51,93.4707,71.8276,1.0236764565196,2008
Drake,MVC,5,0.908115,119.278,97.7341,64.4428,5.1742659953069,2008
Purdue,B10,6,0.904704,110.076,90.5103,68.4575,3.808773503204,2008
Pittsburgh,BE,4,0.901547,116.223,95.8648,65.2954,5.2584719779356,2008
Connecticut,BE,4,0.899225,114.878,94.9691,69.0288,4.3417364199316,2008
Arizona,P10,10,0.899153,115.467,95.463,65.2987,1.4960671748701,2008
Gonzaga,WCC,7,0.89687,112.64,93.3278,68.3551,2.1372126338506,2008
Notre Dame,BE,5,0.89571,114.634,95.0828,70.5486,4.3767778663271,2008
Butler,Horz,7,0.894635,114.239,94.85,61.2143,4.7298937028633,2008
USC,P10,6,0.894514,109.398,90.8402,67.3826,3.6255466297608,2008
Indiana,B10,8,0.892641,114.083,94.8934,68.4447,4.7532137400071,2008
Mississippi St.,SEC,8,0.873414,107.764,91.1026,68.5453,0.57122200708574,2008
BYU,MWC,8,0.867497,105.934,89.9655,70.1702,2.5206804050297,2008
Miami FL,ACC,7,0.861974,111.547,95.122,67.7082,1.6009898099513,2008
Arkansas,SEC,9,0.861051,110.791,94.5411,68.5705,0.53688028117371,2008
Baylor,B12,11,0.850871,115.908,99.6201,71.6529,1.5000137385525,2008
Oregon,P10,9,0.849656,118.033,101.531,68.024,0.78926835811431,2008
UNLV,MWC,8,0.843441,108.847,94.0194,66.2402,2.2164569674484,2008
Saint Mary's,WCC,10,0.839241,107.405,93.0284,68.3691,1.2068702516874,2008
Villanova,BE,12,0.838003,107.856,93.4936,69.4246,0.34324906580903,2008
Oklahoma,B12,6,0.835223,107.446,93.3025,65.1238,2.8016470146396,2008
Western Kentucky,SB,12,0.828326,109.649,95.6251,69.6402,0.21957840186139,2008
Saint Joseph's,A10,11,0.827382,113.772,99.2777,65.359,-1.2407198643454,2008
Vanderbilt,SEC,4,0.81754,111.371,97.7537,70.3921,3.7710450624762,2008
Kent St.,MAC,9,0.804361,105.946,93.6902,66.5588,2.3170082039884,2008
Temple,A10,12,0.792785,111.173,98.9297,65.5542,-1.7060290766385,2008
Kentucky,SEC,11,0.79202,106.598,94.8966,64.2905,-1.0868683107122,2008
South Alabama,SB,10,0.768567,110.453,99.5063,66.6695,-0.25312717562716,2008
Oral Roberts,Sum,13,0.74898,102.101,92.842,65.6947,-0.94131836066567,2008
George Mason,CAA,12,0.738029,107.954,98.6558,63.7197,-3.5718041632755,2008
Georgia,SEC,14,0.728125,103.152,94.684,66.6183,-3.8508139842984,2008
Siena,MAAC,13,0.700836,106.792,99.1722,69.1547,-3.7773953228407,2008
Cal St. Fullerton,BW,14,0.68791,109.056,101.813,74.1409,-3.2196384160988,2008
Winthrop,BSth,13,0.660799,96.3019,90.8764,63.5074,-4.2482544049297,2008
San Diego,WCC,13,0.66015,99.9764,94.3676,65.2658,-3.9204553525358,2008
Portland St.,BSky,16,0.631123,106.734,101.865,68.0653,-3.3851814696506,2008
Cornell,Ivy,14,0.597309,107.384,103.765,69.8007,-1.2443651176192,2008
Boise St.,WAC,14,0.592958,105.758,102.354,72.9166,-2.3845832966006,2008
UMBC,AE,15,0.566558,110.215,107.678,66.0408,-2.9645976484426,2008
Belmont,ASun,15,0.548665,105.712,103.932,71.2268,-3.497610162955,2008
American,Pat,15,0.520788,105.259,104.5,62.6737,-5.8151788969021,2008
Austin Peay,OVC,15,0.482531,102.173,102.796,67.2084,-5.2507533960307,2008
Mount St. Mary's,NEC,16,0.467947,98.9945,100.106,67.6103,-9.4603695916903,2008
UT Arlington,Slnd,16,0.419619,100.095,102.958,70.348,-7.007981007976,2008
Coppin St.,MEAC,16,0.16949,91.5004,105.061,63.8543,-12.980561723081,2008
Mississippi Valley St.,SWAC,16,0.145642,89.7469,104.673,64.9231,-9.982872451616,2008
Memphis,CUSA,2,0.967966,111.794,83.1187,67.9594,6.9491495452303,2009
Connecticut,BE,1,0.96755,115.424,85.9176,68.5192,8.7395059546033,2009
North Carolina,ACC,1,0.967424,123.064,91.6363,74.2853,7.6537570329365,2009
Louisville,BE,1,0.957685,112.014,85.4023,68.2497,8.0314165283698,2009
Pittsburgh,BE,1,0.957074,120.732,92.1692,66.2482,8.5717133015672,2009
Missouri,B12,3,0.94745,116.313,90.4504,71.8811,6.0660283148939,2009
Kansas,B12,3,0.940896,113.617,89.3161,68.1967,5.4051536262817,2009
UCLA,P10,6,0.940623,119.368,93.8767,66.6879,4.5409055335598,2009
Michigan St.,B10,2,0.940211,113.239,89.1136,67.8137,7.3609554427441,2009
West Virginia,BE,6,0.93997,114.359,90.0285,65.6298,3.8904021735013,2009
Gonzaga,WCC,4,0.938383,116.006,91.5461,68.9244,4.4176744728831,2009
Duke,ACC,2,0.938065,116.776,92.1979,68.2362,7.833867077348,2009
Oklahoma,B12,2,0.936944,117.864,93.2113,68.167,7.3524784986166,2009
Villanova,BE,3,0.936158,113.855,90.1447,68.699,5.9841730221669,2009
Syracuse,BE,3,0.933035,116.304,92.4933,71.2112,5.8840332706214,2009
Arizona St.,P10,6,0.93153,117.199,93.3988,60.8353,4.768108117226,2009
Purdue,B10,5,0.927441,109.374,87.6369,67.6966,3.8974674776763,2009
Washington,P10,4,0.926629,111.807,89.68,73.4802,4.9533470712761,2009
Marquette,BE,6,0.914741,116.462,94.7481,69.1981,3.409092841635,2009
BYU,MWC,8,0.90843,113.017,92.5737,70.0837,2.2505238896126,2009
Xavier,A10,4,0.903339,109.053,89.7916,67.2245,2.7753502958156,2009
Clemson,ACC,7,0.903261,115.834,95.3824,69.1815,2.6986357082078,2009
Texas,B12,7,0.902722,111.575,91.9246,66.4878,2.619367542886,2009
USC,P10,10,0.899118,109.264,90.3375,65.0814,2.4855429518393,2009
Illinois,B10,5,0.897103,105.344,87.2634,63.8501,3.83595820754,2009
Wake Forest,ACC,4,0.893253,111.065,92.3315,73.6429,5.1087575854001,2009
Oklahoma St.,B12,8,0.890407,116.046,96.7204,70.5823,2.6938529094763,2009
Wisconsin,B10,12,0.881254,111.531,93.6922,60.4371,0.33090519535748,2009
Tennessee,SEC,9,0.877425,114.417,96.4182,69.4222,1.2085741306897,2009
Utah,MWC,5,0.877022,109.428,92.2442,66.0009,2.663448485871,2009
California,P10,7,0.871236,116.05,98.2744,67.4189,3.2440253140299,2009
Ohio St.,B10,8,0.868161,112.001,95.0698,64.0717,3.218376272899,2009
Florida St.,ACC,5,0.861227,105.007,89.5938,67.1549,4.9836524237767,2009
Arizona,P10,12,0.860972,117.724,100.463,65.6669,0.75215744898835,2009
Michigan,B10,10,0.852793,110.58,94.9155,64.3854,0.86803989816118,2009
Texas A&M,B12,9,0.852289,112.746,96.8078,65.1135,1.8550728147654,2009
LSU,SEC,8,0.851069,111.184,95.5472,66.6175,2.3774932997434,2009
Minnesota,B10,10,0.848997,105.655,90.9242,65.9723,1.8452594038089,2009
Butler,Horz,9,0.841239,108.791,94.1065,63.8689,2.3784568320507,2009
Maryland,ACC,10,0.833895,109.579,95.2342,67.983,0.087760024573201,2009
Temple,A10,11,0.825352,107.352,93.7912,64.9862,-0.53597982454452,2009
Utah St.,WAC,11,0.818753,115.102,100.957,61.3526,2.4087032996049,2009
VCU,CAA,11,0.816053,107.456,94.3994,67.3167,-2.3193574718895,2009
Mississippi St.,SEC,13,0.803657,107.359,94.9767,68.5592,-1.6827376976108,2009
Boston College,ACC,7,0.801838,112.593,99.7062,66.9505,0.5240552674175,2009
Siena,MAAC,9,0.792913,109.378,97.326,71.6868,0.073928440524743,2009
Cleveland St.,Horz,13,0.784047,103.603,92.6141,64.9859,-1.3869736882399,2009
Dayton,A10,11,0.766568,101.774,91.7772,65.9567,1.1009892236325,2009
North Dakota St.,Sum,14,0.764051,112.556,101.623,69.1014,-0.79591557811656,2009
Northern Iowa,MVC,12,0.743797,108.5,98.8967,62.2256,-1.7448289127269,2009
Western Kentucky,SB,12,0.704048,109.081,101.162,66.7723,-2.1372598479597,2009
Akron,MAC,13,0.699473,101.854,94.6397,65.7849,-5.3629462644815,2009
Stephen F. Austin,Slnd,14,0.667592,94.202,88.6597,63.4767,-2.5426873689965,2009
Cal St. Northridge,BW,15,0.653874,101.462,96.0021,72.8952,-6.735607890936,2009
Cornell,Ivy,14,0.638076,106.306,101.192,66.9211,-4.7939726999247,2009
East Tennessee St.,ASun,16,0.622114,103.782,99.3788,71.4666,-5.8981182777878,2009
American,Pat,14,0.613875,103.161,99.0844,61.8352,-2.31532767661,2009
Portland St.,BSky,13,0.582472,107.074,104.019,66.4354,-3.9445822832696,2009
Robert Morris,NEC,15,0.551924,100.874,99.0619,67.1281,-5.1421168717488,2009
Morgan St.,MEAC,15,0.497829,97.9308,98.0048,66.4758,-5.7717363835235,2009
Morehead St.,OVC,16,0.481621,99.9991,100.641,66.5698,-9.3342426652477,2009
Binghamton,AE,15,0.473152,100.568,101.513,68.3902,-4.508924875067,2009
Radford,BSth,16,0.446346,99.0263,100.899,70.0517,-6.5741753843473,2009
Alabama St.,SWAC,16,0.401702,97.854,101.303,65.3019,-5.0869804663818,2009
Chattanooga,SC,16,0.366462,102.017,106.99,71.2188,-9.4471405933652,2009
Duke,ACC,1,0.975221,120.782,87.7617,66.2747,8.4331148209138,2010
Kansas,B12,1,0.966376,119.998,89.6083,68.5088,11.719504280154,2010
Syracuse,BE,1,0.955454,117.545,90.039,70.9964,7.5427321767028,2010
Kentucky,SEC,1,0.955274,114.491,87.7321,69.5865,8.610731484921,2010
Ohio St.,B10,2,0.945412,117.033,91.3296,66.0388,5.6564293505,2010
Kansas St.,B12,2,0.945052,115.931,90.5241,70.4542,6.7670487840271,2010
West Virginia,BE,2,0.942949,116.623,91.38,63.5682,8.0318585279616,2010
Baylor,B12,3,0.941129,119.423,93.8454,65.5991,5.5937214858521,2010
Wisconsin,B10,4,0.93943,115.076,90.6681,60.3513,3.8652554950392,2010
Purdue,B10,4,0.931849,108.292,86.2628,67.4966,6.5702791671692,2010
BYU,MWC,7,0.928755,116.555,93.231,71.7915,4.0018140401196,2010
