team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
North Carolina,12,9.6,39,11,0.78,13,12,9,7,5,4,2,8,95.8,54.2,2008,2023
Connecticut,8.6,10.6,23,6,0.793,9,5,4,4,4,3,3,1,71.1,29.7,2008,2023
Michigan St.,8,9.3,31,14,0.689,14,12,9,5,4,1,0,4,86,34,2008,2023
Butler,7,8.8,17,9,0.654,9,8,3,2,2,2,0,0,37.3,5.7,2008,2023
Michigan,7,7.5,24,11,0.686,11,9,7,4,2,2,0,3,75.9,26.5,2008,2023
Kentucky,6.9,8.3,32,11,0.744,12,10,8,7,4,2,1,6,96.8,63.7,2008,2023
Syracuse,5.6,4.6,21,10,0.677,10,9,7,3,2,0,0,2,69.8,20.8,2008,2023
Oregon,5.2,5.7,15,8,0.652,8,7,5,2,1,0,0,1,43.1,8.3,2008,2023
Villanova,4.8,3.9,29,11,0.725,13,11,6,4,4,2,2,7,92.9,55.1,2008,2023
UCLA,4.5,5.1,20,10,0.667,10,9,7,2,2,0,0,2,74.9,26.3,2008,2023
Florida,4.3,5.9,19,9,0.679,9,8,5,5,1,0,0,2,75.7,31.2,2008,2023
Arkansas,4.3,3.5,11,7,0.611,7,6,3,2,0,0,0,0,17.4,1.8,2008,2023
Kansas,4.2,-2.3,40,13,0.755,15,15,9,7,4,3,2,12,98.8,73.2,2008,2023
Miami FL,4.1,3.4,12,7,0.632,7,5,4,2,1,0,0,1,31.1,4.9,2008,2023
Xavier,4.1,2.7,18,10,0.643,10,9,7,2,0,0,0,2,51.9,8.7,2008,2023
Loyola Chicago,3.4,4,6,3,0.667,3,2,2,1,1,0,0,0,9.5,1.2,2008,2023
Florida Atlantic,3.3,3.4,4,1,0.8,1,1,1,1,1,0,0,0,3.1,0.4,2008,2023
Gonzaga,3.1,3.5,32,15,0.681,15,14,9,5,2,2,0,6,97.2,68.2,2008,2023
South Carolina,2.9,3.1,4,1,0.8,1,1,1,1,1,0,0,0,4.5,0.6,2008,2023
Ohio,2.7,3.4,4,3,0.571,3,3,1,0,0,0,0,0,2,0.1,2008,2023
Saint Peter's,2.6,2.7,3,2,0.6,2,1,1,1,0,0,0,0,0.2,0,2008,2023
Dayton,2.5,1.3,5,5,0.5,5,3,1,1,0,0,0,0,3.7,0.1,2008,2023
Wisconsin,2.5,4,23,13,0.639,13,11,7,2,2,1,0,2,81.4,31.1,2008,2023
Duke,2,-0.2,34,12,0.739,14,12,9,6,3,2,2,11,97.5,61.7,2008,2023
Western Kentucky,2,2,3,4,0.429,4,2,1,0,0,0,0,0,1.8,0.1,2008,2023
Texas Tech,1.9,3.7,11,5,0.688,5,4,3,2,1,1,0,0,54.4,19.4,2008,2023
Oregon St.,1.9,1.6,3,2,0.6,2,1,1,1,0,0,0,0,2.3,0.1,2008,2023
Louisville,1.8,3.4,22,9,0.71,10,7,6,5,2,1,1,3,89.9,48.7,2008,2023
La Salle,1.5,1.8,2,1,0.667,1,1,1,0,0,0,0,0,0.8,0,2008,2023
Stanford,1.5,1.6,4,2,0.667,2,2,2,0,0,0,0,0,10.7,1.5,2008,2023
Florida Gulf Coast,1.5,1.7,2,3,0.4,3,1,1,0,0,0,0,0,0.2,0,2008,2023
Kansas St.,1.4,0.3,12,10,0.545,10,6,3,3,0,0,0,1,42.7,8.1,2008,2023
Oklahoma,1.4,0.8,12,9,0.571,9,6,3,2,1,0,0,2,46.3,9.1,2008,2023
Florida St.,1.3,1.2,11,8,0.579,8,6,4,1,0,0,0,0,34.1,4.6,2008,2023
Richmond,1.2,1.1,3,3,0.5,3,2,1,0,0,0,0,0,4.4,0.3,2008,2023
Oral Roberts,1.2,1.1,2,3,0.4,3,1,1,0,0,0,0,0,0.5,0,2008,2023
Princeton,1.1,1.1,2,3,0.4,3,1,1,0,0,0,0,0,0.7,0,2008,2023
Cornell,1.1,1.2,2,3,0.4,3,1,1,0,0,0,0,0,2,0.1,2008,2023
Middle Tennessee,1.1,1.4,2,2,0.5,2,2,0,0,0,0,0,0,1.6,0.1,2008,2023
Fairleigh Dickinson,1,1,1,2,0.333,2,1,0,0,0,0,0,0,0,0,2008,2023
Baylor,0.9,-0.3,19,10,0.655,11,8,5,3,1,1,1,2,80.8,33.2,2008,2023
UMBC,0.9,0.9,1,2,0.333,2,1,0,0,0,0,0,0,0,0,2008,2023
Norfolk St.,0.8,0.9,1,3,0.25,3,1,0,0,0,0,0,0,0,0,2008,2023
Mercer,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.1,0,2008,2023
Marshall,0.7,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.1,0,2008,2023
Creighton,0.7,1,9,8,0.529,8,6,2,1,0,0,0,0,28.7,4.9,2008,2023
Rhode Island,0.7,0.5,2,2,0.5,2,2,0,0,0,0,0,0,2.2,0.1,2008,2023
Washington,0.7,1.3,5,4,0.556,4,4,1,0,0,0,0,0,16.2,2.7,2008,2023
Murray St.,0.7,0.8,4,5,0.444,5,4,0,0,0,0,0,0,6.4,0.3,2008,2023
San Diego,0.7,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.1,0,2008,2023
Abilene Christian,0.7,0.7,1,2,0.333,2,1,0,0,0,0,0,0,0.1,0,2008,2023
Furman,0.7,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.2,0,2008,2023
Auburn,0.6,1.4,7,4,0.636,4,4,1,1,1,0,0,1,35.5,6.3,2008,2023
Northwestern,0.6,0.4,2,2,0.5,2,2,0,0,0,0,0,0,3,0.3,2008,2023
UAB,0.6,0.3,1,2,0.333,2,1,0,0,0,0,0,0,0.5,0,2008,2023
Morehead St.,0.5,0.6,1,3,0.25,3,1,0,0,0,0,0,0,0.1,0,2008,2023
UC Irvine,0.5,0.5,1,2,0.333,2,1,0,0,0,0,0,0,0.2,0,2008,2023
North Texas,0.5,0.7,1,2,0.333,2,1,0,0,0,0,0,0,0.2,0,2008,2023
Northern Iowa,0.5,1.1,4,4,0.5,4,3,1,0,0,0,0,0,13.1,1.6,2008,2023
Siena,0.5,0.9,2,3,0.4,3,2,0,0,0,0,0,0,1.8,0,2008,2023
Little Rock,0.5,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.9,0.1,2008,2023
Lehigh,0.5,0.9,1,2,0.333,2,1,0,0,0,0,0,0,0.6,0,2008,2023
Hawaii,0.4,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.6,0,2008,2023
Maryland,0.4,-0.3,8,8,0.5,8,7,1,0,0,0,0,0,20.9,2.8,2008,2023
Cleveland St.,0.4,0.7,1,2,0.333,2,1,0,0,0,0,0,0,1.2,0.1,2008,2023
Liberty,0.3,0.3,1,2,0.333,2,1,0,0,0,0,0,0,0.3,0,2008,2023
Rutgers,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.6,0.1,2008,2023
Georgia St.,0.3,0.6,1,4,0.2,4,1,0,0,0,0,0,0,0.2,0,2008,2023
Nevada,0.3,-0.3,2,3,0.4,3,1,1,0,0,0,0,0,3.3,0.2,2008,2023
UCF,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2.4,0.1,2008,2023
Washington St.,0.2,0.4,2,1,0.667,1,1,1,0,0,0,0,0,12,1.5,2008,2023
