Region,Team,Seed,sold_price,wins,low_wins,total_payout_pct,actual_payout,profit,roi
West,Uconn,8,120,0,2,1.5,311.4,191.39999999999998,159
West,Arkansas,7,210,2,0,1.5,311.4,101.39999999999998,48
West,Mizzou,6,185,0,0,0,0,-185,-100
West,Memphis,5,300,0,0,0,0,-300,-100
West,Maryland,4,400,2,0,1.5,311.4,-88.60000000000002,-22
West,Texas Tech,3,725,3,1,3,622.8,-102.20000000000005,-14
West,St John's,2,820,0,0,0,0,-820,-100
West,Florida,1,1700,6,0,40,8304,6604,388
Midwest,Gonzaga,8,325,1,1,0,0,-325,-100
Midwest,UCLA,7,250,1,2,1.5,311.4,61.39999999999998,25
Midwest,Illinois,6,350,1,1,0,0,-350,-100
Midwest,Clemson,5,350,1,1,0,0,-350,-100
Midwest,Purdue,4,325,1,0,0,0,-325,-100
Midwest,Kentucky,3,425,1,0,0,0,-425,-100
Midwest,Tennessee,2,850,1,0,0,0,-850,-100
Midwest,Houston,1,1950,5,0,20,4152,2202,113
East,Baylor,8,200,1,0,0,0,-200,-100
East,St Mary's,7,475,0,0,0,0,-475,-100
East,BYU,6,550,2,2,3,622.8,72.79999999999995,13
East,Oregon,5,350,0,0,0,0,-350,-100
East,Arizona,4,475,2,0,1.5,311.4,-163.60000000000002,-34
East,Wisconsin,3,550,2,0,1.5,311.4,-238.60000000000002,-43
East,Alabama,2,800,2,0,1.5,311.4,-488.6,-61
East,Duke,1,2100,4,0,8,1660.8,-439.20000000000005,-21
South,Louisville,8,350,1,1,0,0,-350,-100
South,Marquette,7,400,1,0,0,0,-400,-100
South,Ole Miss,6,525,3,0,3,622.8,97.79999999999995,19
South,Michigan,5,700,3,1,3,622.8,-77.20000000000005,-11
South,Texas A&M,4,625,1,0,0,0,-625,-100
South,Iowa St,3,625,2,0,1.5,311.4,-313.6,-50
South,Michigan St,2,1050,3,0,3,622.8,-427.20000000000005,-41
South,Auburn,1,2000,4,0,8,1660.8,-339.20000000000005,-17
