region,bucket,high_team,high_barthag,high_naive_ev,high_adj_ev,high_price,high_wins,high_payout,low_team,low_barthag,low_naive_ev,low_adj_ev,low_price,low_wins,low_payout,bucket_price,bucket_payout,bucket_profit
East,1/16,Duke,0.9824,8.75,9.99,2100,4,1660.8,16-seed,0.55,0,0.02,NA,NA,NA,2100,1660.8,-439.20000000000005
Midwest,1/16,Houston,0.9836,8.75,9.68,1950,5,4152,16-seed,0.55,0,0.01,NA,NA,NA,1950,4152,2202
South,1/16,Auburn,0.9746,8.75,8.26,2000,4,1660.8,16-seed,0.55,0,0.02,NA,NA,NA,2000,1660.8,-339.20000000000005
West,1/16,Florida,0.9709,8.75,7.65,1700,6,8304,16-seed,0.55,0,0.03,NA,NA,NA,1700,8304,6604
East,2/15,Alabama,0.9612,4.73,4.64,800,2,311.4,15-seed,0.62,0.02,0.05,NA,NA,NA,800,311.4,-488.6
Midwest,2/15,Tennessee,0.9563,4.73,4.06,850,1,0,15-seed,0.62,0.02,0.05,NA,NA,NA,850,0,-850
South,2/15,Michigan St,0.9399,4.73,3.4,1050,3,622.8,15-seed,0.62,0.02,0.08,NA,NA,NA,1050,622.8,-427.20000000000005
West,2/15,St John's,0.9314,4.73,2.95,820,0,0,15-seed,0.62,0.02,0.09,NA,NA,NA,820,0,-820
East,3/14,Wisconsin,0.941,2.85,2.57,550,2,311.4,14-seed,0.65,0.08,0.06,NA,NA,NA,550,311.4,-238.60000000000002
Midwest,3/14,Kentucky,0.9305,2.85,2.22,425,1,0,14-seed,0.65,0.08,0.08,NA,NA,NA,425,0,-425
South,3/14,Iowa St,0.9441,2.85,3.54,625,2,311.4,14-seed,0.65,0.08,0.08,NA,NA,NA,625,311.4,-313.6
West,3/14,Texas Tech,0.9501,2.85,4.06,725,3,622.8,14-seed,0.65,0.08,0.07,NA,NA,NA,725,622.8,-102.20000000000005
East,4/13,Arizona,0.9459,2.3,2.82,475,2,311.4,13-seed,0.68,0.1,0.09,NA,NA,NA,475,311.4,-163.60000000000002
Midwest,4/13,Purdue,0.9366,2.3,2.19,325,1,0,13-seed,0.68,0.1,0.09,NA,NA,NA,325,0,-325
South,4/13,Texas A&M,0.9165,2.3,1.86,625,1,0,13-seed,0.68,0.1,0.11,NA,NA,NA,625,0,-625
West,4/13,Maryland,0.9484,2.3,4.16,400,2,311.4,13-seed,0.68,0.1,0.13,NA,NA,NA,400,311.4,-88.60000000000002
East,5/12,Oregon,0.8998,1.4,1.03,350,0,0,12-seed,0.7,0.32,0.1,NA,NA,NA,350,0,-350
Midwest,5/12,Clemson,0.9137,1.4,1.31,350,1,0,12-seed,0.7,0.32,0.1,NA,NA,NA,350,0,-350
South,5/12,Michigan,0.9166,1.4,1.84,700,3,622.8,12-seed,0.7,0.32,0.13,NA,NA,NA,700,622.8,-77.20000000000005
West,5/12,Memphis,0.8015,1.4,0.43,300,0,0,12-seed,0.7,0.32,0.17,NA,NA,NA,300,0,-300
East,6/11,BYU,0.9373,1.19,2.24,550,2,622.8,11-seed,0.72,0.59,0.1,NA,NA,NA,550,622.8,72.79999999999995
Midwest,6/11,Illinois,0.9248,1.19,1.87,350,1,0,11-seed,0.72,0.59,0.13,NA,NA,NA,350,0,-350
South,6/11,Ole Miss,0.9146,1.19,1.74,525,3,622.8,11-seed,0.72,0.59,0.14,NA,NA,NA,525,622.8,97.79999999999995
West,6/11,Mizzou,0.9247,1.19,2.09,185,0,0,11-seed,0.72,0.59,0.12,NA,NA,NA,185,0,-185
East,7/10,St Mary's,0.9137,0.97,1.26,475,0,0,10-seed,0.74,0.51,0.12,NA,NA,NA,475,0,-475
Midwest,7/10,UCLA,0.9288,0.97,1.81,250,1,311.4,10-seed,0.74,0.51,0.12,NA,NA,NA,250,311.4,61.39999999999998
South,7/10,Marquette,0.8909,0.97,1.2,400,1,0,10-seed,0.74,0.51,0.19,NA,NA,NA,400,0,-400
West,7/10,Arkansas,0.8815,0.97,1.1,210,2,311.4,10-seed,0.74,0.51,0.21,NA,NA,NA,210,311.4,101.39999999999998
East,8/9,Baylor,0.899,0.67,0.72,200,1,0,9-seed,0.76,0.6,0.1,NA,NA,NA,200,0,-200
Midwest,8/9,Gonzaga,0.9494,0.67,2.06,325,1,0,9-seed,0.76,0.6,0.06,NA,NA,NA,325,0,-325
South,8/9,Louisville,0.9151,0.67,1.32,350,1,0,9-seed,0.76,0.6,0.12,NA,NA,NA,350,0,-350
West,8/9,Uconn,0.8841,0.67,0.84,120,0,311.4,9-seed,0.76,0.6,0.16,NA,NA,NA,120,311.4,191.39999999999998
