region,seed,team,barthag,barthag_ev,p_champ,naive_ev,ev_vs_naive
East,1,Duke,0.9824,9.985043406454528,0.20071781783994175,8.750829467163303,1.2342139392912248
Midwest,1,Houston,0.9836,9.678213898707062,0.1975478893265897,8.750829467163303,0.9273844315437589
South,1,Auburn,0.9746,8.25928685064671,0.15502464873065996,8.750829467163303,-0.49154261651659326
West,1,Florida,0.9709,7.6475700481434385,0.1383116514854124,8.750829467163303,-1.1032594190198646
East,2,Alabama,0.9612,4.643842237638637,0.07333475244484122,4.7289346382743815,-0.08509240063574453
West,4,Maryland,0.9484,4.161097274946355,0.05961282785879487,2.30067189566041,1.860425379285945
Midwest,2,Tennessee,0.9563,4.058332407015206,0.06109161405546347,4.7289346382743815,-0.670602231259176
West,3,Texas Tech,0.9501,4.058162875605904,0.059584715991886354,2.849864318731788,1.2082985568741158
South,3,Iowa St,0.9441,3.5401487328087407,0.04860644902176942,2.849864318731788,0.6902844140769528
South,2,Michigan St,0.9399,3.4009788933144716,0.04460224413300594,4.7289346382743815,-1.32795574495991
West,2,St. John's,0.9314,2.9476165563726737,0.035692790631898834,4.7289346382743815,-1.7813180819017078
East,4,Arizona,0.9459,2.8165013162287815,0.03731110074510358,2.30067189566041,0.5158294205683713
East,3,Wisconsin,0.941,2.5665844882934103,0.032667512083839514,2.849864318731788,-0.28327983043837746
East,6,BYU,0.9373,2.239167507773701,0.02744580411690556,1.1896869569554478,1.0494805508182532
Midwest,3,Kentucky,0.9305,2.2181552232960176,0.025242433954554496,2.849864318731788,-0.6317090954357703
Midwest,4,Purdue,0.9366,2.192571055085526,0.026215138330420072,2.30067189566041,-0.10810084057488423
West,6,Mizzou,0.9247,2.085717244974928,0.024317946140301545,1.1896869569554478,0.8960302880194804
Midwest,8,Gonzaga,0.9494,2.06195938487644,0.03040259696729448,0.6672071341370573,1.3947522507393826
Midwest,6,Illinois,0.9248,1.8694073834513516,0.020074171577964567,1.1896869569554478,0.6797204264959038
South,4,Texas A&M,0.9165,1.8591117127346246,0.019363239654044795,2.30067189566041,-0.4415601829257856
South,5,Michigan,0.9166,1.8369633201609252,0.019150942674015976,1.401704798421899,0.4352585217390261
Midwest,7,UCLA,0.9288,1.8089974779157685,0.02073859750292634,0.9725381806449556,0.8364592972708129
South,6,Ole Miss,0.9146,1.7447224700061077,0.0182231235482483,1.1896869569554478,0.5550355130506599
South,8,Louisville,0.9151,1.3150415968040439,0.014597273603325907,0.6672071341370573,0.6478344626669865
Midwest,5,Clemson,0.9137,1.3056196424020992,0.012215560853795862,1.401704798421899,-0.09608515601979994
East,7,St. Mary's,0.9137,1.262306978781571,0.012407431818601954,0.9725381806449556,0.2897687981366155
South,7,Marquette,0.8909,1.1952336146861158,0.009919067402651072,0.9725381806449556,0.2226954340411602
West,7,Arkansas,0.8815,1.101940438789785,0.0083951262093053,0.9725381806449556,0.12940225814482953
East,5,Oregon,0.8998,1.0263817149364536,0.00837994945503452,1.401704798421899,-0.3753230834854455
West,8,UConn,0.8841,0.8435444526664843,0.007162192660282835,0.6672071341370573,0.1763373185294269
East,8,Baylor,0.899,0.7204932504795657,0.0066635396354526415,0.6672071341370573,0.05328611634250835
West,5,Memphis,0.8015,0.4278444844557882,0.001585837930792331,1.401704798421899,-0.9738603139661108
West,10,10-seed,0.74,0.20637600316317561,4.418766886091513e-4,0.5077925450821221,-0.3014165419189465
South,10,10-seed,0.74,0.1855150778383126,3.9604503357594637e-4,0.5077925450821221,-0.32227746724380957
West,12,12-seed,0.7,0.16808020482454059,2.5123788677907294e-4,0.3201245911038171,-0.1520443862792765
West,9,9-seed,0.76,0.15984054352412153,4.8632432372009137e-4,0.6036988054985336,-0.4438582619744121
South,11,11-seed,0.72,0.13742971290387268,2.568598159235966e-4,0.5901480783335312,-0.45271836542965854
West,13,13-seed,0.68,0.13014560200014225,1.6274988724225472e-4,0.10426706484241924,0.02587853715772301
South,12,12-seed,0.7,0.12913956608177518,1.778818942500975e-4,0.3201245911038171,-0.1909850250220419
Midwest,11,11-seed,0.72,0.12704726952247697,1.8897751057960464e-4,0.5901480783335312,-0.46310080881105425
West,11,11-seed,0.72,0.12486193065669698,2.5282015274774984e-4,0.5901480783335312,-0.46528614767683424
South,9,9-seed,0.76,0.1234788101627294,3.7661339326129845e-4,0.6036988054985336,-0.48021999533580423
East,10,10-seed,0.74,0.11689859202764266,2.246037107715338e-4,0.5077925450821221,-0.3908939530544795
Midwest,10,10-seed,0.74,0.1167803587954146,2.3227028529782676e-4,0.5077925450821221,-0.39101218628670753
South,13,13-seed,0.68,0.11262099306093017,1.2915575195063012e-4,0.10426706484241924,0.008353928218510928
East,12,12-seed,0.7,0.10375894501565056,1.1713904224998298e-4,0.3201245911038171,-0.21636564608816652
East,11,11-seed,0.72,0.10360084504237105,1.5789312788974023e-4,0.5901480783335312,-0.4865472332911602
Midwest,12,12-seed,0.7,0.10041924908725179,1.0541143905612967e-4,0.3201245911038171,-0.21970534201656527
East,9,9-seed,0.76,0.0965775958335125,2.6416692582280474e-4,0.6036988054985336,-0.50712120966502106
East,13,13-seed,0.68,0.08708779121574903,8.131031885662726e-5,0.10426706484241924,-0.01717927362667021
West,15,15-seed,0.62,0.086567519981247,6.413659980446309e-5,0.02296509393275825,0.06360242604848874
Midwest,13,13-seed,0.68,0.0861877467198632,7.439977873090612e-5,0.10426706484241924,-0.018079318122556032
South,14,14-seed,0.65,0.08089071336209969,8.225143525620498e-5,0.0755796402787449,0.005311073083354781
Midwest,14,14-seed,0.65,0.0783259998526141,6.103455491293816e-5,0.0755796402787449,0.002746359573869192
South,15,15-seed,0.62,0.0768399335455765,5.664343999724489e-5,0.02296509393275825,0.05387483961281825
West,14,14-seed,0.65,0.07275437263721711,8.166651135658345e-5,0.0755796402787449,-0.0028252676415277955
East,14,14-seed,0.65,0.06333690979863241,5.081219806561059e-5,0.0755796402787449,-0.012242730480112499
Midwest,9,9-seed,0.76,0.06266193169814747,1.7829765767201283e-4,0.6036988054985336,-0.5410368738003861
Midwest,15,15-seed,0.62,0.0481099005434177,3.2739621997888666e-5,0.02296509393275825,0.025144806610659445
East,15,15-seed,0.62,0.04778980484192778,3.090113899310372e-5,0.02296509393275825,0.02482471090916953
