year,n_seeds,naive_mae,adj_mae,naive_rmse,adj_rmse,pct_improved,mae_improvement
2008,16,0.014110876849363024,0.013909370087620871,0.0341539705475964,0.02195109921566873,31.25,1.42802438071911
2009,16,0.014330647408330462,0.013577144588994174,0.027295131295839124,0.020309635143576227,43.75,5.257981707778767
2010,16,0.012343223474646127,0.011633087001067275,0.021259316660854947,0.016282525629485206,37.5,5.753249749042649
2011,16,0.027252921525932228,0.025312976511702064,0.044159439206660586,0.03970923679472229,50,7.118301105385087
2012,16,0.016041852216611672,0.014113367478527422,0.029739565677485508,0.021037663767266006,43.75,12.021583991948656
2013,16,0.016695098236502618,0.013516522473182878,0.02661458252632723,0.01844543406123125,56.25,19.038976101200863
2014,16,0.021723667483235447,0.01849076413469445,0.033998889851468574,0.0288662171448494,56.25,14.881940864892579
2015,16,0.016140899152730613,0.015509783698090867,0.03595247676846027,0.022883013673810543,43.75,3.9100390174544755
2016,16,0.019435625767279138,0.017645720892893305,0.033040702472035915,0.02646686759072372,56.25,9.209401826409051
2017,16,0.021079333645551927,0.019489469115180232,0.033249028538532295,0.02601759988001872,50,7.542290269252325
2018,16,0.020602017154159137,0.02070375520120609,0.03197050957943821,0.028596500727501847,56.25,-0.4938256593307164
2019,16,0.01982377758420284,0.012507305378691198,0.03508678869768667,0.019455252039495944,37.5,36.9075579789696
2021,16,0.015399494735722889,0.011173239361112912,0.02894264925787231,0.018746208133612902,68.75,27.444117142403023
2022,16,0.02373388502671917,0.019823266851966555,0.03546156844477193,0.026712084519865405,56.25,16.476940755169725
2023,16,0.015788835363923552,0.014226618835026277,0.028360129247100144,0.026381609773362485,56.25,9.894438018315377
2025,8,0.02712221959735043,0.025639348344294818,0.05823681541187781,0.03672322662989975,37.5,5.467366886154381
